Id;SleepDay;Date;TotalSleepRecords;TotalMinutesAsleep;TotalTimeInBed
5553957443;5/05/2016 0:00;5/05/2016;1;419;464
5553957443;5/06/2016 0:00;5/06/2016;1;400;434
5553957443;5/07/2016 0:00;5/07/2016;1;442;470
5553957443;5/08/2016 0:00;5/08/2016;1;568;608
5553957443;5/09/2016 0:00;5/09/2016;1;453;494
5553957443;5/10/2016 0:00;5/10/2016;1;418;443
5553957443;5/11/2016 0:00;5/11/2016;1;463;486
5553957443;5/12/2016 0:00;5/12/2016;1;438;475
5577150313;4/12/2016 0:00;4/12/2016;1;419;438
5577150313;5/01/2016 0:00;5/01/2016;1;379;398
5577150313;5/02/2016 0:00;5/02/2016;2;525;553
5577150313;5/03/2016 0:00;5/03/2016;1;508;543
5577150313;5/04/2016 0:00;5/04/2016;1;603;634
5577150313;5/05/2016 0:00;5/05/2016;1;74;78
5577150313;5/10/2016 0:00;5/10/2016;1;504;562
5577150313;5/11/2016 0:00;5/11/2016;1;431;476
6117666160;5/01/2016 0:00;5/01/2016;1;507;575
6117666160;5/05/2016 0:00;5/05/2016;1;392;415
6117666160;5/06/2016 0:00;5/06/2016;2;658;698
6117666160;5/07/2016 0:00;5/07/2016;2;498;507
6117666160;5/08/2016 0:00;5/08/2016;1;555;603
6117666160;5/09/2016 0:00;5/09/2016;1;492;522
6962181067;4/12/2016 0:00;4/12/2016;1;366;387
6962181067;5/01/2016 0:00;5/01/2016;1;411;426
6962181067;5/02/2016 0:00;5/02/2016;1;466;482
6962181067;5/03/2016 0:00;5/03/2016;1;394;418
6962181067;5/04/2016 0:00;5/04/2016;1;442;455
6962181067;5/05/2016 0:00;5/05/2016;1;467;491
6962181067;5/06/2016 0:00;5/06/2016;1;443;462
6962181067;5/07/2016 0:00;5/07/2016;1;298;334
6962181067;5/08/2016 0:00;5/08/2016;1;541;569
6962181067;5/09/2016 0:00;5/09/2016;1;489;497
6962181067;5/10/2016 0:00;5/10/2016;1;469;481
6962181067;5/11/2016 0:00;5/11/2016;1;452;480
6962181067;5/12/2016 0:00;5/12/2016;1;516;535
7007744171;5/01/2016 0:00;5/01/2016;1;58;61
7086361926;4/12/2016 0:00;4/12/2016;1;514;525
7086361926;5/01/2016 0:00;5/01/2016;1;388;407
7086361926;5/02/2016 0:00;5/02/2016;1;440;459
7086361926;5/03/2016 0:00;5/03/2016;1;456;461
7086361926;5/04/2016 0:00;5/04/2016;1;420;436
7086361926;5/06/2016 0:00;5/06/2016;1;322;333
7086361926;5/07/2016 0:00;5/07/2016;1;530;548
7086361926;5/08/2016 0:00;5/08/2016;1;481;510
7086361926;5/09/2016 0:00;5/09/2016;1;427;438
7086361926;5/11/2016 0:00;5/11/2016;1;451;463
7086361926;5/12/2016 0:00;5/12/2016;1;444;457
8053475328;5/07/2016 0:00;5/07/2016;1;74;75
8378563200;4/12/2016 0:00;4/12/2016;1;338;356
8378563200;5/01/2016 0:00;5/01/2016;1;475;539
8378563200;5/02/2016 0:00;5/02/2016;1;351;385
8378563200;5/03/2016 0:00;5/03/2016;1;405;429
8378563200;5/04/2016 0:00;5/04/2016;1;441;477
8378563200;5/05/2016 0:00;5/05/2016;1;381;417
8378563200;5/06/2016 0:00;5/06/2016;1;323;355
8378563200;5/07/2016 0:00;5/07/2016;2;459;513
8378563200;5/08/2016 0:00;5/08/2016;1;545;606
8378563200;5/09/2016 0:00;5/09/2016;1;359;399
8378563200;5/10/2016 0:00;5/10/2016;1;342;391
8378563200;5/11/2016 0:00;5/11/2016;1;368;387
8378563200;5/12/2016 0:00;5/12/2016;1;496;546
8792009665;4/12/2016 0:00;4/12/2016;1;458;493
8792009665;5/01/2016 0:00;5/01/2016;1;503;527
8792009665;5/02/2016 0:00;5/02/2016;1;415;423
8792009665;5/03/2016 0:00;5/03/2016;1;516;545
8792009665;5/04/2016 0:00;5/04/2016;1;439;463
